tf.Tensor(87.97743, shape=(), dtype=float32)
tf.Tensor(95.72142, shape=(), dtype=float32)
tf.Tensor(96.360214, shape=(), dtype=float32)
tf.Tensor(96.45137, shape=(), dtype=float32)
tf.Tensor(96.990845, shape=(), dtype=float32)
tf.Tensor(97.34632, shape=(), dtype=float32)
tf.Tensor(97.511505, shape=(), dtype=float32)
tf.Tensor(97.762505, shape=(), dtype=float32)
tf.Tensor(97.994865, shape=(), dtype=float32)
tf.Tensor(98.07336, shape=(), dtype=float32)
tf.Tensor(98.175156, shape=(), dtype=float32)
tf.Tensor(98.366196, shape=(), dtype=float32)
tf.Tensor(98.501495, shape=(), dtype=float32)
tf.Tensor(98.625725, shape=(), dtype=float32)
tf.Tensor(98.61348, shape=(), dtype=float32)
tf.Tensor(98.71237, shape=(), dtype=float32)
tf.Tensor(98.82684, shape=(), dtype=float32)
tf.Tensor(98.866745, shape=(), dtype=float32)
tf.Tensor(98.93289, shape=(), dtype=float32)
tf.Tensor(98.89969, shape=(), dtype=float32)
tf.Tensor(99.01151, shape=(), dtype=float32)
tf.Tensor(99.06929, shape=(), dtype=float32)
tf.Tensor(99.08784, shape=(), dtype=float32)
tf.Tensor(99.16431, shape=(), dtype=float32)
tf.Tensor(99.206215, shape=(), dtype=float32)
tf.Tensor(99.22002, shape=(), dtype=float32)
tf.Tensor(99.26284, shape=(), dtype=float32)
tf.Tensor(99.26201, shape=(), dtype=float32)
tf.Tensor(99.21569, shape=(), dtype=float32)
tf.Tensor(99.26933, shape=(), dtype=float32)
tf.Tensor(99.298325, shape=(), dtype=float32)
tf.Tensor(99.277756, shape=(), dtype=float32)
tf.Tensor(99.295395, shape=(), dtype=float32)
tf.Tensor(99.21383, shape=(), dtype=float32)
tf.Tensor(99.28356, shape=(), dtype=float32)
tf.Tensor(99.33926, shape=(), dtype=float32)
tf.Tensor(99.38776, shape=(), dtype=float32)
tf.Tensor(99.37712, shape=(), dtype=float32)
tf.Tensor(99.34959, shape=(), dtype=float32)
tf.Tensor(99.42705, shape=(), dtype=float32)
tf.Tensor(99.46594, shape=(), dtype=float32)
tf.Tensor(99.484276, shape=(), dtype=float32)
tf.Tensor(99.477806, shape=(), dtype=float32)
tf.Tensor(99.49108, shape=(), dtype=float32)
tf.Tensor(99.48198, shape=(), dtype=float32)
tf.Tensor(99.504486, shape=(), dtype=float32)
tf.Tensor(99.491875, shape=(), dtype=float32)
tf.Tensor(99.50473, shape=(), dtype=float32)
tf.Tensor(99.5075, shape=(), dtype=float32)
tf.Tensor(99.5221, shape=(), dtype=float32)
tf.Tensor(99.49689, shape=(), dtype=float32)
tf.Tensor(99.48918, shape=(), dtype=float32)
tf.Tensor(98.96249, shape=(), dtype=float32)
tf.Tensor(99.03658, shape=(), dtype=float32)
tf.Tensor(99.33434, shape=(), dtype=float32)
tf.Tensor(99.39495, shape=(), dtype=float32)
tf.Tensor(99.430016, shape=(), dtype=float32)
tf.Tensor(99.47334, shape=(), dtype=float32)
tf.Tensor(99.51517, shape=(), dtype=float32)
tf.Tensor(99.53186, shape=(), dtype=float32)
tf.Tensor(99.533394, shape=(), dtype=float32)
tf.Tensor(99.545876, shape=(), dtype=float32)
tf.Tensor(99.54018, shape=(), dtype=float32)
tf.Tensor(99.52778, shape=(), dtype=float32)
tf.Tensor(99.52105, shape=(), dtype=float32)
tf.Tensor(99.50647, shape=(), dtype=float32)
tf.Tensor(99.49703, shape=(), dtype=float32)
tf.Tensor(99.46934, shape=(), dtype=float32)
tf.Tensor(99.223915, shape=(), dtype=float32)
tf.Tensor(99.271454, shape=(), dtype=float32)
tf.Tensor(99.241, shape=(), dtype=float32)
tf.Tensor(99.26231, shape=(), dtype=float32)
tf.Tensor(99.41246, shape=(), dtype=float32)
tf.Tensor(99.4742, shape=(), dtype=float32)
tf.Tensor(99.51214, shape=(), dtype=float32)
tf.Tensor(99.53488, shape=(), dtype=float32)
tf.Tensor(99.5456, shape=(), dtype=float32)
tf.Tensor(99.56128, shape=(), dtype=float32)
tf.Tensor(99.5749, shape=(), dtype=float32)
tf.Tensor(99.57887, shape=(), dtype=float32)
tf.Tensor(99.57813, shape=(), dtype=float32)
tf.Tensor(99.578415, shape=(), dtype=float32)
tf.Tensor(99.583725, shape=(), dtype=float32)
tf.Tensor(99.578606, shape=(), dtype=float32)
tf.Tensor(99.580505, shape=(), dtype=float32)
tf.Tensor(99.55493, shape=(), dtype=float32)
tf.Tensor(99.54927, shape=(), dtype=float32)
tf.Tensor(99.54729, shape=(), dtype=float32)
tf.Tensor(99.57661, shape=(), dtype=float32)
tf.Tensor(99.60636, shape=(), dtype=float32)
tf.Tensor(99.61681, shape=(), dtype=float32)
tf.Tensor(99.61947, shape=(), dtype=float32)
tf.Tensor(99.62403, shape=(), dtype=float32)
tf.Tensor(99.62612, shape=(), dtype=float32)
tf.Tensor(99.62789, shape=(), dtype=float32)
tf.Tensor(99.62391, shape=(), dtype=float32)
tf.Tensor(99.62272, shape=(), dtype=float32)
tf.Tensor(99.6299, shape=(), dtype=float32)
tf.Tensor(99.62696, shape=(), dtype=float32)
tf.Tensor(99.63324, shape=(), dtype=float32)
