tf.Tensor(0.8734007, shape=(), dtype=float32)
tf.Tensor(0.15846308, shape=(), dtype=float32)
tf.Tensor(0.0995519, shape=(), dtype=float32)
tf.Tensor(0.08696299, shape=(), dtype=float32)
tf.Tensor(0.079691276, shape=(), dtype=float32)
tf.Tensor(0.07077879, shape=(), dtype=float32)
tf.Tensor(0.066544846, shape=(), dtype=float32)
tf.Tensor(0.059468027, shape=(), dtype=float32)
tf.Tensor(0.054346513, shape=(), dtype=float32)
tf.Tensor(0.052373353, shape=(), dtype=float32)
tf.Tensor(0.05006034, shape=(), dtype=float32)
tf.Tensor(0.04555546, shape=(), dtype=float32)
tf.Tensor(0.042185366, shape=(), dtype=float32)
tf.Tensor(0.03876127, shape=(), dtype=float32)
tf.Tensor(0.03878146, shape=(), dtype=float32)
tf.Tensor(0.036499497, shape=(), dtype=float32)
tf.Tensor(0.033026192, shape=(), dtype=float32)
tf.Tensor(0.03181357, shape=(), dtype=float32)
tf.Tensor(0.030302899, shape=(), dtype=float32)
tf.Tensor(0.03094978, shape=(), dtype=float32)
tf.Tensor(0.027814139, shape=(), dtype=float32)
tf.Tensor(0.026007475, shape=(), dtype=float32)
tf.Tensor(0.02547933, shape=(), dtype=float32)
tf.Tensor(0.023040302, shape=(), dtype=float32)
tf.Tensor(0.021926505, shape=(), dtype=float32)
tf.Tensor(0.0213386, shape=(), dtype=float32)
tf.Tensor(0.020402169, shape=(), dtype=float32)
tf.Tensor(0.020098636, shape=(), dtype=float32)
tf.Tensor(0.021612592, shape=(), dtype=float32)
tf.Tensor(0.019970272, shape=(), dtype=float32)
tf.Tensor(0.019103639, shape=(), dtype=float32)
tf.Tensor(0.019839842, shape=(), dtype=float32)
tf.Tensor(0.019256165, shape=(), dtype=float32)
tf.Tensor(0.021725176, shape=(), dtype=float32)
tf.Tensor(0.019512046, shape=(), dtype=float32)
tf.Tensor(0.018045314, shape=(), dtype=float32)
tf.Tensor(0.016537054, shape=(), dtype=float32)
tf.Tensor(0.016745204, shape=(), dtype=float32)
tf.Tensor(0.017732855, shape=(), dtype=float32)
tf.Tensor(0.015377207, shape=(), dtype=float32)
tf.Tensor(0.014318007, shape=(), dtype=float32)
tf.Tensor(0.013829771, shape=(), dtype=float32)
tf.Tensor(0.013947212, shape=(), dtype=float32)
tf.Tensor(0.013572174, shape=(), dtype=float32)
tf.Tensor(0.013779878, shape=(), dtype=float32)
tf.Tensor(0.013166127, shape=(), dtype=float32)
tf.Tensor(0.013509248, shape=(), dtype=float32)
tf.Tensor(0.0131032495, shape=(), dtype=float32)
tf.Tensor(0.012982221, shape=(), dtype=float32)
tf.Tensor(0.012678256, shape=(), dtype=float32)
tf.Tensor(0.013393685, shape=(), dtype=float32)
tf.Tensor(0.013446975, shape=(), dtype=float32)
tf.Tensor(0.029823614, shape=(), dtype=float32)
tf.Tensor(0.027061876, shape=(), dtype=float32)
tf.Tensor(0.018114667, shape=(), dtype=float32)
tf.Tensor(0.01604001, shape=(), dtype=float32)
tf.Tensor(0.015243919, shape=(), dtype=float32)
tf.Tensor(0.013882373, shape=(), dtype=float32)
tf.Tensor(0.012769495, shape=(), dtype=float32)
tf.Tensor(0.012255981, shape=(), dtype=float32)
tf.Tensor(0.012227147, shape=(), dtype=float32)
tf.Tensor(0.011897138, shape=(), dtype=float32)
tf.Tensor(0.012000238, shape=(), dtype=float32)
tf.Tensor(0.012360936, shape=(), dtype=float32)
tf.Tensor(0.012628624, shape=(), dtype=float32)
tf.Tensor(0.013129029, shape=(), dtype=float32)
tf.Tensor(0.013211321, shape=(), dtype=float32)
tf.Tensor(0.014091477, shape=(), dtype=float32)
tf.Tensor(0.02220413, shape=(), dtype=float32)
tf.Tensor(0.020007608, shape=(), dtype=float32)
tf.Tensor(0.02079533, shape=(), dtype=float32)
tf.Tensor(0.020074831, shape=(), dtype=float32)
tf.Tensor(0.015607894, shape=(), dtype=float32)
tf.Tensor(0.013893715, shape=(), dtype=float32)
tf.Tensor(0.012794222, shape=(), dtype=float32)
tf.Tensor(0.012061451, shape=(), dtype=float32)
tf.Tensor(0.011765051, shape=(), dtype=float32)
tf.Tensor(0.011333328, shape=(), dtype=float32)
tf.Tensor(0.0109949, shape=(), dtype=float32)
tf.Tensor(0.010871797, shape=(), dtype=float32)
tf.Tensor(0.010871554, shape=(), dtype=float32)
tf.Tensor(0.010804732, shape=(), dtype=float32)
tf.Tensor(0.010665298, shape=(), dtype=float32)
tf.Tensor(0.010817479, shape=(), dtype=float32)
tf.Tensor(0.010789416, shape=(), dtype=float32)
tf.Tensor(0.011480254, shape=(), dtype=float32)
tf.Tensor(0.011619209, shape=(), dtype=float32)
tf.Tensor(0.011671185, shape=(), dtype=float32)
tf.Tensor(0.010877879, shape=(), dtype=float32)
tf.Tensor(0.010044482, shape=(), dtype=float32)
tf.Tensor(0.009704743, shape=(), dtype=float32)
tf.Tensor(0.009663064, shape=(), dtype=float32)
tf.Tensor(0.009442799, shape=(), dtype=float32)
tf.Tensor(0.009377712, shape=(), dtype=float32)
tf.Tensor(0.0093530705, shape=(), dtype=float32)
tf.Tensor(0.009489312, shape=(), dtype=float32)
tf.Tensor(0.009517587, shape=(), dtype=float32)
tf.Tensor(0.009293624, shape=(), dtype=float32)
tf.Tensor(0.009372303, shape=(), dtype=float32)
tf.Tensor(0.009186551, shape=(), dtype=float32)
